config	query	hits	result_len	answer_len	tp	fp	fn	precision	sens_at_1fp	runtime	max_rss_kb
aa_group	M0447	6000	1850	6	1	1	5	0.5000	0.1667	5.43	194220
aa_group	M0448	6000	2104	8	1	1	7	0.5000	0.1250	3.32	83128
aa_group	M0453	6000	1810	66	9	1	57	0.9000	0.1364	10.45	320156
aa_group	M0454	6000	1667	15	12	1	3	0.9231	0.8000	2.88	160056
aa_group	M0456	6000	2274	18	2	1	16	0.6667	0.1111	3.16	84948
aa_group	M0458	6000	1925	26	20	1	6	0.9524	0.7692	2.65	97916
aa_group	M0462	6000	1676	50	44	1	6	0.9778	0.8800	3.90	303308
aa_group	M0466	6000	1966	194	13	1	181	0.9286	0.0670	23.84	731192
aa_group	M0472	6000	1903	97	96	1	1	0.9897	0.9897	15.16	515068
aa_group	M0477	6000	1715	72	55	1	17	0.9821	0.7639	3.64	138376
aa_group	M0484	6000	1976	102	102	1	0	0.9903	1.0000	24.13	528280
aa_group	M0488	6000	1829	7	7	1	0	0.8750	1.0000	9.70	286916
aa_group	M0497	6000	1713	16	15	1	1	0.9375	0.9375	9.87	280780
aa_group	M0502	6000	1689	129	7	1	122	0.8750	0.0543	14.36	392620
aa_group	M0505	6000	2004	28	3	1	25	0.7500	0.1071	2.48	211336
aa_group	M0506	6000	1790	117	66	1	51	0.9851	0.5641	4.75	192240
aa_group	M0508	6000	2282	8	8	1	0	0.8889	1.0000	7.54	382152
aa_group	M0510	6000	2113	63	2	1	61	0.6667	0.0317	2.41	108836
aa_group	M0515	6000	1794	21	11	1	10	0.9167	0.5238	6.10	164132
aa_group	M0519	6000	1785	20	18	1	2	0.9474	0.9000	20.75	614372
aa_group	M0520	6000	1495	446	228	1	218	0.9956	0.5112	6.13	218136
aa_group	M0544	6000	1667	14	9	1	5	0.9000	0.6429	4.26	138416
aa_group	M0545	6000	1988	20	14	1	6	0.9333	0.7000	2.27	83988
aa_group	M0547	6000	2410	8	4	1	4	0.8000	0.5000	4.33	146920
aa_group	M0550	6000	2010	21	7	1	14	0.8750	0.3333	2.12	115092
aa_group	M0563	6000	2062	32	0	1	32	0.0000	0.0000	1.88	63940
aa_group	M0564	6000	1820	400	9	1	391	0.9000	0.0225	1.44	63212
aa_group	M0565	6000	2729	14	5	1	9	0.8333	0.3571	2.28	74196
aa_group	M0574	6000	1846	134	22	1	112	0.9565	0.1642	9.77	231020
aa_group	M0580	6000	1927	10	7	1	3	0.8750	0.7000	2.41	93272
aa_group	M0589	6000	2045	69	5	1	64	0.8333	0.0725	6.11	222880
aa_group	M0590	6000	1776	20	3	1	17	0.7500	0.1500	2.63	112632
aa_group	M0597	6000	1817	28	12	1	16	0.9231	0.4286	5.05	152340
aa_group	M0600	6000	1747	79	35	1	44	0.9722	0.4430	2.86	252136
aa_group	M0609	6000	1413	86	13	1	73	0.9286	0.1512	2.25	118168
aa_group	M0612	6000	2071	92	49	1	43	0.9800	0.5326	1.79	81964
aa_group	M0616	6000	1912	6	5	1	1	0.8333	0.8333	2.42	127376
aa_group	M0623	6000	1771	17	17	1	0	0.9444	1.0000	3.34	123584
aa_group	M0625	6000	1933	9	2	1	7	0.6667	0.2222	3.73	68760
aa_group	M0634	6000	1815	10	10	1	0	0.9091	1.0000	3.37	97556
aa_group	M0636	6000	1708	17	7	1	10	0.8750	0.4118	3.02	100836
aa_group	M0642	6000	2124	31	4	1	27	0.8000	0.1290	1.43	46216
aa_group	M0651	6000	1965	65	10	1	55	0.9091	0.1538	2.58	86532
aa_group	M0653	6000	1706	26	5	1	21	0.8333	0.1923	6.18	171688
aa_group	M0655	6000	2362	7	4	1	3	0.8000	0.5714	2.61	64856
aa_group	M0658	6000	1678	13	3	1	10	0.7500	0.2308	2.44	84128
aa_group	M0663	6000	1539	97	12	1	85	0.9231	0.1237	4.51	235256
aa_group	M0669	6000	1734	11	1	1	10	0.5000	0.0909	2.36	176852
aa_group	M0674	6000	1737	38	10	1	28	0.9091	0.2632	4.18	87612
aa_group	M0682	6000	1483	329	2	1	327	0.6667	0.0061	2.62	94984
aa_group	M0683	6000	1807	30	27	1	3	0.9643	0.9000	10.01	211680
aa_group	M0693	6000	1708	412	7	1	405	0.8750	0.0170	1.79	61984
aa_group	M0697	6000	1972	156	6	1	150	0.8571	0.0385	2.04	66796
aa_group	M0709	6000	2393	351	4	1	347	0.8000	0.0114	2.85	124208
aa_group	M0727	6000	1455	24	10	1	14	0.9091	0.4167	6.92	165180
aa_group	M0732	6000	1818	20	5	1	15	0.8333	0.2500	6.69	222836
aa_group	M0734	6000	2069	10	2	1	8	0.6667	0.2000	3.13	175916
aa_group	M0736	6000	2078	4	4	1	0	0.8000	1.0000	2.80	73100
aa_group	M0738	6000	2007	16	6	1	10	0.8571	0.3750	2.98	77012
aa_group	M0742	6000	2295	3	3	1	0	0.7500	1.0000	3.93	72000
aa_group	M0748	6000	1897	20	15	1	5	0.9375	0.7500	1.91	89992
aa_group	M0752	6000	1687	9	9	1	0	0.9000	1.0000	3.62	191368
aa_group	M0754	6000	2319	13	4	1	9	0.8000	0.3077	2.58	65172
aa_group	M0755	6000	1934	12	8	1	4	0.8889	0.6667	4.86	124028
aa_group	M0759	6000	2608	80	25	1	55	0.9615	0.3125	1.98	78432
aa_group	M0768	6000	1788	237	18	1	219	0.9474	0.0759	4.12	130864
aa_group	M0771	6000	2102	285	5	1	280	0.8333	0.0175	5.12	98596
aa_group	M0781	6000	1959	8	6	1	2	0.8571	0.7500	3.64	85832
aa_group	M0789	6000	1906	62	18	1	44	0.9474	0.2903	6.58	150384
aa_group	M0792	6000	1692	11	1	1	10	0.5000	0.0909	8.20	324816
aa_group	M0795	6000	2032	80	17	1	63	0.9444	0.2125	8.97	414816
aa_group	M0798	6000	1465	2197	5	1	2192	0.8333	0.0023	1.54	111140
aa_group	M0806	6000	1614	5	1	1	4	0.5000	0.2000	3.99	176644
aa_group	M0808	6000	1768	5	4	1	1	0.8000	0.8000	4.57	153672
aa_group	M0810	6000	1853	38	13	1	25	0.9286	0.3421	14.29	254452
aa_group	M0815	6000	1464	243	166	1	77	0.9940	0.6831	3.62	90440
aa_group	M0816	6000	1566	242	10	1	232	0.9091	0.0413	3.79	133856
